Sector,Track,Job Role,Job Role Description,Performance Expectation
Human Resource,Employee Experience and Relations,"Manager, Employee Experience and Relations","The Manager, Employee Experience and Relations derives insights from employee engagement tools and liaises with business leaders to implement corrective action plans to enhance employee experience in the organisation. He/She designs the employee engagement programmes based on employee experience strategies in alignment with the organisation's culture and values. He supports engagements in key negotiations by summarising implications on the business and associated risks. In addition, he is responsible for managing team operations and performance at the workplace. The Manager, Employee Experience and Relations leads by example and is passionate about analysing issues, devising new and creative solutions to problems, as well as encouraging innovation within the team. He is diplomatic and highly skilled at engaging with others, thereby promoting a cooperative work environment.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,HR Business Partner,HR Business Partner / HR Manager,"The Human Resource (HR) Business Partner/ HR Manager provides HR consulting to the business. He/She liaises with line managers to understand critical requirements, projects future skills demand and collaborates with hiring managers to prioritise requirements. He influences business leaders to support the assimilation of new hires into the organisation effectively. He guides learning managers to focus on learning programmes to bridge staff capability gaps and build new skills. He partners the business in the identification and management of high-potential talent, and the implementation of succession plans. He advises on non-monetary benefits options to compensation manager to align it with workforce needs. He manages employee issues and supports line managers in exit and retirement processes. As the main point of contact between HR and the business, the HR Business Partner/ HR Manager is an excellent communicator who aligns interests among various stakeholders to promote a cooperative and collaborative work environment. He adopts a service excellence mindset and is passionate about addressing organisational and employees' needs and issues.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,HR Business Partner,"Head, HR Business Partner","The Head, Human Resource (HR) Business Partner provides HR consulting and advisory to business leaders in the organisation. He/She guides business leaders to manage workforce surplus or shortfalls and works with hiring leaders to prioritise workforce requirements across the organisation, identifying ways to fulfil them. He partners business leaders to define and communicate performance goals for senior staff. He guides business leaders to identify critical positions in the organisation and supports the implementation of leadership development plans. He advises senior leaders and compensation manager on compensation issues. He promotes diverse and inclusive employment culture in the organisation. He recommends ways to manage redundancies and involuntary exit decisions in the organisation. The Head, HR Business Partner is an excellent communicator who presents and positions business needs strategically to secure the buy-in from various senior stakeholders. He synthesises and effectively integrates multiple, diverse perspectives to arrive at optimal solutions for the organisation.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act Workplace Safety and Health Act"
Human Resource,Learning and Organisation Development,"Head, Learning and Organisation Development","The Head, Learning and Organisation Development is responsible for establishing the organisation's learning and development strategy and recommending organisational design and/or change interventions to deliver business strategies and plans effectively. He/She allocates the budgets for learning and development programmes to build capabilities in the organisation. He influences stakeholders to redesign the organisational model and spearheads organisational change interventions to drive the organisation's vision, mission and business strategies. As a department head, he is responsible for setting the direction and articulating goals and objectives for the team, and driving the integration of Skills Frameworks across the organisation's learning programmes. The Head, Learning and Organisation Development is an inspirational leader with a forward-thinking mindset and a deep passion for developing organisational and people capabilities. He establishes and communicates a clear vision, and is highly skilled in influencing and engaging stakeholders to secure their buy-in and support.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Learning and Organisation Development,"Manager, Learning and Organisation Development","The Manager, Learning and Organisation Development is responsible for developing learning and development plans, based on the assessment of development areas for the workforce to meet business requirements. He/She liaises with stakeholders to communicate and implement organisation development and/or change interventions to ensure that the organisation's strategy and plans are delivered in an effective and efficient way. In addition, he is responsible for managing team operations and performance, and leverages Skills Frameworks in creating learning roadmaps and integrating with learning programmes under the team's purview. The Manager, Learning and Organisation Development is passionate about building capabilities in others, and harnesses appropriate resources to do so. He is highly skilled at engaging and building relationships with others within, and beyond, his team, thereby promoting a collaborative and co-operative work environment.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Operations and Technology,"Head, Operations and Technology","The Head, Operations and Technology formulates and leads the implementation of organisation-wide human resource (HR) operational policies, procedures and systems initiatives. He/She determines the criteria and measures to evaluate effectiveness of HR systems and leads communication of HR systems updates and changes to senior business leaders. He conceptualises new data models and reviews data-based recommendations to select optimal solutions to address business needs. The Head, Operations and Technology adopts a broad, global perspective and synthesises knowledge from multiple domains to arrive at holistic solutions to optimise the organisation's HR processes and systems. He is a forward-thinking leader who exercises sound judgement and defensible logic to influence others and secure their buy-in.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Operations and Technology,"Manager, Operations and Technology","The Manager, Operations & Technology is responsible for implementing and maintaining processes and systems that support strategic HR initiatives for the various HR functions. He/She evaluates the effectiveness of HR processes and systems and liaises with various departments to understand their data reporting and analysis requirements. He sets objectives for data analysis and improves analytical models where necessary. The Manager, Operations & Technology adopts an analytical and methodical approach to addressing issues - he is astute in managing resources, leveraging on people capabilities and technologies to improve HR processes and systems. He is at ease working with technical systems and data, and is able to derive and communicate insights in a compelling manner.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Operations and Technology / Performance and Rewards / HR Business Partner / Talent Attraction / Employee Experience and Relations / Talent Management / Learning and Organisation Development,Chief Human Resource Officer,"The Chief Human Resource Officer (CHRO) is responsible for the effective and efficient running of the human resource (HR) function. He/She applies his business and financial knowledge of the organisation and advises senior business leaders on HR matters and the relevant impact to the organisation. He drives the culture of the organisation by championing organisational values and cultivating the desired culture of the organisation with other senior business leaders and stakeholders. He has a sound understanding of the external environment impacting the organisation and provides strategic foresight and HR insights to offer innovative solutions in solving organisational issues. The CHRO adopts a global, forward-thinking perspective and effectively integrates various considerations to arrive at well-rationalised decisions. He is an influential and inspiring leader who effectively builds relationships and engages with various stakeholders within and beyond the organisation.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Performance and Rewards,"Associate, Performance and Rewards","The Associate, Performance and Rewards assists with the administration of performance reviews and compensation and benefits programmes in the organisation. He/She researches on industry compensation and benefits practices and liaises with vendors for benefits programmes suitable for the workforce. He manages routine employee queries relating to performance management systems and compensation and benefits processing. He generates salary and benefits reports, conducts data analyses and presents preliminary findings to senior members of the team. The HR Associate, Performance and Rewards enjoys working in a team environment and interacts proactively with various stakeholders. He is enthusiastic and eager to serve others and can adapt to various forms of technology within his area of work to enhance work quality and meet others' needs more effectively.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Performance and Rewards,"Executive, Performance and Rewards","The Executive, Performance and Rewards supports the execution of performance management programmes and implements compensation and benefits plans. He/She performs benchmarking for the organisation's compensation and benefits programmes with comparable organisations. He supervises the preparation of the payroll reports and collaborates with benefits partners and vendors for claim disbursements. He is also responsible for ensuring that performance and compensation records in the systems are accurate and that regulatory guidelines are adhered to. He performs data analytics and shares insights reports with senior members of the team. The Executive, Performance and Rewards thrives in a team environment, and is comfortable communicating with various stakeholders within and beyond the team. He possesses an analytical mind and is able to derive insights from data, leveraging them to address issues and derive solutions to work challenges.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Performance and Rewards,"Head, Performance and Rewards","The Head, Performance and Rewards designs organisation-wide performance management strategies and total rewards philosophy for the organisation to attract and retain talent. He/She establishes performance review cycles and key performance indicators (KPIs) for the business units. He formulates compensation and benefits policies and maintains alignment with the organisation's strategic direction and employee value proposition (EVP), thereby ensuring internal equity of compensation systems. In addition, he is responsible for managing team operations and performance, and integrating Skill Frameworks into performance management frameworks and total rewards philosophy of the organisation. The Head, Performance and Rewards adopts a broad perspective and is able to clearly articulate a vision and strategy anchored on robust and defensible logic. He proactively guides others, and is able to communicate complex concepts in a simple manner to others.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Performance and Rewards,"Manager, Performance and Rewards","The Manager, Performance and Rewards develops performance management policies, frameworks and compensation structures within the organisation's financial budget. He/She provides support and guidance to line managers in establishing performance indicators, conducting performance reviews and communicating evaluation ratings to their team. He provides suggestions on compensation structures and benefits programmes based on industry benchmarks and the total rewards philosophy of the organisation. In addition, he is responsible for managing team operations and performance, and integrating Skill Frameworks into performance management systems within the organisation. The Manager, Performance and Rewards enjoys working with data and leveraging them to analyse, investigate and solve complex problems. He grounds his decisions in sound reasoning and is able to communicate and justify his rationales to others in a diplomatic and engaging manner.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Talent Attraction,"Head, Talent Attraction","The Head, Talent Attraction is responsible for strategic workforce planning to support the organisation's growth strategies through establishing talent sourcing strategies, determining the philosophy for the selection and securing of candidates and overseeing the onboarding and integration of new hires into the organisation. He/She develops various approaches to meet workforce requirements and designs employer branding strategies. He oversees the selection processes and collaborates with business, stakeholders for the hiring of key leadership roles. As a department head, he is responsible for setting the direction and articulating goals and objectives for the team, and driving the integration of Skills Frameworks across the organisation's talent attraction plans. The Head, Talent Attraction is an influential and inspiring leader who adopts a broad perspective in the decisions he makes. He is articulate and displays a genuine passion for motivating and developing his team.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Talent Attraction,"Manager, Talent Attraction","The Manager, Talent Attraction plans and secures the organisation's manpower. He/She designs the employee value proposition (EVP) and talent outreach plans to source for potential candidates. He determines cost-efficient and robust assessment and selection tools to identify the right candidates for hire. He establishes processes and guidelines to onboard new hires. He coaches and works with business stakeholders to facilitate the assimilation of new hires into the organisation to help them become effective contributors readily. In addition, he is responsible for managing the talent attraction team operations and performance, and integrating Skill Frameworks into the talent attraction programmes and initiatives under the team's purview. The Manager, Talent Attraction is open to exploring new ideas and possibilities and is also able to evaluate them in a methodical and systematic manner in order to make decisions and manage resources effectively. He is a confident communicator and possesses the ability to build and leverage strong relationships with others to achieve desired objectives.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Talent Attraction / Employee Experience and Relations,"Associate, Talent Attraction and Employee Experience and Relations","The Associate, Talent Attraction and Employee Experience and Relations executes planned talent outreach and engagement activities to source for potential candidates and maintains an optimal experience for employees. He/She conducts the initial screening of potential candidates, administers assessments and prepares employment contracts as per guidelines. He tracks the conversion success rate for each sourcing channel and provides administrative and logistical support during onboarding. He administers employee engagement surveys and collates responses and feedback while ensuring confidentiality of information provided. The Associate, Talent Attraction and Employee Experience and Relations enjoys working in a team environment and interacts proactively with various stakeholders. He has a service-oriented mindset and can adapt to various forms of technology within his work space to enhance his work.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Talent Attraction / Employee Experience and Relations,"Executive, Talent Attraction and Employee Experience and Relations","The Executive, Talent Attraction and Employee Experience and Relations analyses various approaches to identify potential candidates and ensures an engaging and optimal experience for employees. He/She conducts background checks, negotiates pay packages and presents employment offers to selected candidates. He creates new hire information packs, develops content and delivers orientation sessions for new hires. He develops the employee engagement surveys, analyses data collected and implements initiatives to enhance employees' engagement levels and well-being. He supports the management of workplace issue and, investigates routine grievances raised and proposes resolutions. The Executive, Talent Attraction and Employee Experience and Relations thrives in a team environment, and is comfortable interacting with various stakeholders within and beyond the team. He possesses an analytical mind and is enthusiastic about solving problems in service of others.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Talent Management,"Head, Talent Management","The Head, Talent Management is responsible for establishing the overall talent management strategies and frameworks to identify, prepare and position the right talent to drive organisational success. He/She formulates career development frameworks and programmes to provide fulfilling career opportunities to employees in the organisation. He liaises with senior business stakeholders to formulate robust succession plans for business-critical roles in the organisation, ensuring future viability and alignment with business plans and direction. He is responsible for establishing retirement and exit policies and guidelines, and evaluating the business impact of redundancy, retirement and exit decisions. He also guides and advises senior business leaders in the management and communication of sensitive talent decisions. As a department head, he is responsible for setting the direction and articulating goals and objectives for the team, and driving the integration of Skills Frameworks across the organisation's talent management plans. The Head, Talent Management is a forward-thinking and influential leader who is able to integrate knowledge across diverse domains to make robust decisions and address multi-faceted issues effectively. He has the desire to motivate employees and develop talent capabilities both within the team and across the organisation, and demonstrates sensitivity and diplomacy when interacting with stakeholders at various levels.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Talent Management,"Manager, Talent Management","The Manager, Talent Management develops and implements talent management programmes to groom talent in the organisation for the fulfilment of current and future business requirements. He/She designs career pathways to generate awareness on career progression opportunities in the organisation and guides line managers on employee career development policies and programmes. He manages high-potential talent and succession planning programmes, to develop a strong pipeline for critical roles in the organisation and ensure business success and continuity. He is also responsible for implementing retirement and exit policies and programmes in the organisation, managing redundancies and guiding other colleagues in managing staff exits. In addition, he is accountable for managing team operations and performance, and integrating Skill Frameworks into the talent management programmes and initiatives under his team's purview. The Manager, Talent Management possesses strong people-orientation; he is an excellent communicator who is diplomatic and engaging when interacting with stakeholders at the workplace. He critically analyses complex issues and is able to arrive at robust decisions and solutions.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Talent Management / Learning and Organisation Development,"Associate, Talent Management and Learning and Organisational Development","The Associate, Talent Management and Learning and Organisation Development assists in procuring training programmes and documenting learning needs in the, organisation, maintaining organisations' learning systems and provides administrative support in conducting learning programmes. He/She manages resources and logistics for delivering learning programmes and collects data from learning evaluation surveys to measure learning programmes effectiveness. He supports the conduct of assessments to identify high-potential talent in the organisation, and documents assessment records and succession plans for critical roles identified. He also responds to employee queries that are related to assessments and learning programmes. He is responsible for maintaining exit and retirement records. The Associate, Talent Management and Learning and Organisation Development enjoys working in a team environment and interacts proactively with various stakeholders. He is eager to explore and analyse problems, and is able to communicate information in a clear and concise manner to meet others' needs at the workplace.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Human Resource,Talent Management / Learning and Organisation Development,"Executive, Talent Management and Learning and Organisational Development","The Executive, Talent Management and Learning and Organisation Development prioritises learning needs, based on current and future capability requirements, liaises with line managers for development of learning programme materials, selects suitable internal trainers and external vendors and provides necessary support for delivering different learning programmes. He/She manages communication of learning calendars and employee participation across various learning programmes, and analyses evaluation scores and post-learning feedback from the employees. He assists in talent assessment to identify high-potential talent and programme implementation for high-potential talent, and supports the organisational HR function in developing and implementing programmes for succession planning. He administers the exit processes and supports re-employment programmes. As someone who is people-oriented, the Executive, Talent Management and Learning and Organisation Development thrives in a team environment, and is confident in engaging and building relationships with various stakeholders. He is eager to serve and enjoys critically analysing and solving problems at the workplace to meet others' needs.","In accordance with: Central Provident Fund Act, Employment Act, Employment of Foreign Manpower Act, Employment of Foreign Manpower (Work Passes) Regulations, Fair Consideration Framework, Industrial Relations Act, Retirement and Re-employment Act, Workman Injury Compensation Act, Workplace Safety and Health Act"
Infocomm Technology,Cyber Security,Associate Security Analyst,"The Associate Security Analyst supports security systems, operations administration, monitoring and maintenance of cyber security systems and applications. He/She monitors security alerts and events. He collects and documents information based on established practices and supports the preparation and publishing of security advisories. He assists with the analysis of security-related information and events, escalation of incidents for validation and remediation. He is required to be on standby with on-call availability with varied shifts including nights, weekends and holidays. He is familiar with cyber security standards, protocols and frameworks, and is required to act in accordance with the Cyber Security Act 2018. He is knowledgeable in using various cyber security tools and techniques to monitor and resolve incidents. The Associate Security Analyst is alert and vigilant in performing monitoring activities and is able to analyse and resolve security-related issues critically. He communicates clearly in his interactions with others and coordinates effectively with his team to perform security operations.",
Infocomm Technology,Cyber Security,Chief Information Security Officer,"The Chief Information Security Officer develops and drives the vision for the information security function. He/She acts as the authority for the development and enforcement of organisation security strategy, standards and policies, and has ultimate responsibility for ensuring the protection of corporate information. He guides the design and continuous improvement of the IT security architecture and Cyber Risk Maturity Model that balances business needs with security risks. He advises the board and top executives on all security matters and sets directions for complying with regulatory inquiries, legal and compliance regulations, inspections and audits. He is an expert in cyber security compliance standards, protocols and frameworks, as well as the Cyber Security Act 2018. He is keeps abreast of cyber-related applications and hardware technologies and services, and is constantly on the look-out for new technologies that may be leveraged on to enhance work processes, or which may pose as potential threats. The Chief Information Security Officer is an inspirational and influential leader, who displays sound judgement and decisiveness in ensuring that corporate information is well protected and secured. He is strategic in his approach toward resource management and capability development among his teams.",
Infocomm Technology,Cyber Security,Cyber Risk Analyst,"The Cyber Risk Analyst conducts cyber risk assessment in support of technology initiatives to help identify IT related risk and determines appropriate controls to mitigate risks. He/She monitors, tracks and manages risk mitigations and exceptions to ensure cyber security standards and policies are established. He applies a defined set of analytical or scientific methods and works independently. He is also responsible for documentation of cyber risk assessment reports. He is familiar with cyber security standards, protocols and frameworks, and acts in accordance with the Cyber Security Act 2018. He is knowledgeable in using various cyber security monitoring and analysis tools and techniques depending on the organisation's needs and requirements. The Cyber Risk Analyst is vigilant and systematic in identifying cyber risks and enjoys analysing and investigating such issues. He is a strong team player, and communicates well both verbally and in writing.",
Infocomm Technology,Cyber Security,Cyber Risk Manager,"The Cyber Risk Manager guides the assessment of information and cyber risks associated with technology initiatives and provides recommendations on control requirements by risk policy and standards. He/She manages and coordinates responses to regulatory inquiries, inspections, audits and ensures cyber security standards and policies are established and implemented. He oversees the development of reports and implements policies and standards. He manages employees and is held accountable for the performance and results of a team. He provides guidance on security measures and protocols to stakeholders. He is familiar with cyber security standards, protocols and frameworks, and ensures the organisations compliance to the Cyber Security Act 2018. He is knowledgeable in using various cyber security monitoring and analysis tools and techniques depending on the organisation's needs and requirements. He also has expertise in cyber risk mitigation strategies and protocols. The Cyber Risk Manager has a sharp, analytical mind and is able to anticipate problems and risks to mitigate them ahead of time. He is an excellent communicator who works well with others and promotes a cooperative working environment and relationships within and beyond his team.",
Infocomm Technology,Cyber Security,Forensics Investigation Manager,"The Forensics Investigation Manager plans and oversees the investigation processes and protocols after a cyber-threat or incident. He/She is responsible to ensure that the data is collected and analysed properly. He is also responsible for developing a forensics investigation strategy and overseeing the forensics investigations to ensure the threat is classified and future actions are recommended to the affected stakeholders. He is familiar with different types of threats, cyber security standards, protocols and frameworks, and ensures the organisations compliance with the Cyber Security Act 2018. He is knowledgeable of hardware and software applications to analyse threat data from various sources. The Forensics Investigation Manager is diligent and watchful in the investigation activities. He is also a confident leader who develops plans and solutions to address security incidents, and has a passion for engaging and developing others in his team.",
Infocomm Technology,Cyber Security,Forensics Investigator,"The Forensics Investigator is responsible for the investigation processes after a cyber-threat or incident. He/She is responsible to collect and analyse the threat data from the affected systems. He is also responsible for performing the forensics investigation and determining the root cause of cyber-attacks. He is familiar with different types of threats, cyber security standards, protocols and frameworks, and acts in accordance with the Cyber Security Act 2018. He is knowledgeable of hardware and software applications to analyse threat data from various sources. The Forensics Investigator is diligent and takes an analytical approach to perform analyses and uncover insights. He is skilled in synthesising trends and insights, and is confident in putting forth creative mitigation plans and solutions to mitigate security incidents.",
Infocomm Technology,Cyber Security,Incident Investigation Manager,"The Incident Investigation Manager plans and oversees the performance of security response during the event of a cyber-incident or threat. He proposes mitigation techniques and countermeasures as well as develops cyber security solutions to prevent future attacks. He develops and implements cyber incident response strategies. He presents cyber-incident reports to senior leaders. He is required to be on standby with on-call availability with varied shifts including nights, weekends and holidays. He is familiar with cyber security standards, protocols and frameworks, and ensures the organisations compliance to the Cyber Security Act 2018. He is knowledgeable in using various cyber security analysis tools and techniques to resolve incidents. The Incident Investigation Manager is diligent and watchful in monitoring security operations, systems and activities. He is quick to provide solutions and fix issues when they arise. He is adept at dealing with complexity, and is an articulate and developmental leader in his team.",
Infocomm Technology,Cyber Security,Incident Investigator,"The Incident Investigator conducts complex analysis to investigate causes of intrusion, attack, loss or breach occurring in an organisation. He/She identifies and defines cyber threats and root causes. He develops reports that detail incident timeline, evidence, findings, conclusions and recommendations. He is responsible for managing cyber incidents and resolving the incidents in a timely manner. He prepares reports, communicates findings to senior stakeholders, and recommends corrective actions to prevent and mitigate internal control failures. He is required to be on standby with on-call availability with varied shifts including nights, weekends and holidays. He is familiar with cyber security standards, protocols and frameworks, and works in compliance with the Cyber Security Act 2018. He is knowledgeable in using various cyber security tools and techniques to resolve incidents. The Incident Investigator is detail-oriented and adopts a critical and systematic approach in conducting investigations and analyses. He views issues from multiple perspectives and actively communicates his thoughts and engages with other team members.",
Infocomm Technology,Cyber Security,Security Architect,"The Security Architect leads unique and highly complex projects involving design, development and implementation of secure system architectures. He/She plans and monitors the design of artefacts into enterprise systems that describe security principles and how they relate to the overall enterprise system architecture. He is involved in the development and application of new solutions in infrastructure security. He recommends and leads the adoption of new technological advances and best practices in infrastructure security systems to mitigate security risks. He identifies and resolves unique and complex issues, which may have organisation-wide and long-term impact. He is an expert in cyber security standards, protocols and frameworks, and ensures the organisations compliance to the Cyber Security Act 2018. He is knowledgeable of various application and hardware technologies and services. The Security Architect has a creative and critical mind, and enjoys identifying linkages and interconnections among various parts of a system or architecture. He is a technical expert who should also be people-oriented, consultative, developmental and actively engaging stakeholders to design optimal secure system architectures. He also mentors and provides technical leadership to the junior staff.",
Infocomm Technology,Cyber Security,Security Operations Analyst,"The Security Operations Analyst performs real-time analysis and trending of security log data from various security devices and systems. He/She maintains data sources feeding the log monitoring system, develops and maintains detection and alerting rules. He responds to user incident reports and evaluates the type and severity of security events. He documents incidents and develops reports. He identifies recurring security issues and risks to develop mitigation plans and recommends process improvements. He interprets and applies security policies and procedures. He is required to be on standby with on-call availability with varied shifts including nights, weekends and holidays. He is familiar with cyber security standards, protocols and frameworks, and works in accordance with the Cyber Security Act 2018. He is knowledgeable in using various cyber security monitoring and testing tools and techniques. The Security Operations Analyst is diligent and takes an analytical approach to perform real-time analyses. He is skilled in synthesising trends and insights, and is confident in putting forth creative mitigation plans and solutions to security incidents.",
Infocomm Technology,Cyber Security,Security Operations Manager,"The Security Operations Manager plans and oversees monitoring and maintenance of security operations and provides direction and leadership to internal resources. He/She provides expertise on security technologies and innovative security concepts and works toward enhancing the resilience of security operations. He coordinates ongoing reviews of existing security programs, protocols and planned upgrades. He establishes escalation processes for security incidents and develops contingency plans and disaster recovery procedures. He focuses on policy implementation and control. He is familiar with cyber security standards, protocols and frameworks, and ensures the organisations compliance with the Cyber Security Act 2018. He is knowledgeable in using various cyber security monitoring and testing tools and techniques. The Security Operations Manager is diligent and watchful in monitoring security operations, systems and activities. He is also a confident leader who develops plans and solutions to address security incidents and also one who has a passion for engaging and developing others in his team.",
Infocomm Technology,Cyber Security,Senior Security Engineer / Security Engineer,"The Senior Security Engineer/Security Engineer designs, develops and implements secure system architectures. He/She embeds security principles into the design of system architectures to mitigate the risks posed by new technologies and business practices. He designs artefacts, spanning design, development and implementation, into enterprise systems that describe security principles and how they relate to the overall enterprise system architecture. He performs routine activities related to the periodic review and audit activities of infrastructure security systems and maintains documentation of security standards and procedures. He is well versed with cyber security standards, protocols and frameworks, and works in compliance with the Cyber Security Act 2018. He is knowledgeable of various application and hardware technologies and services. The Senior Security Engineer/Security Engineer is structured and systematic in his approach to designing and implementing secure system architectures. He is articulate and works well with his team and other stakeholders.",
Infocomm Technology,Cyber Security,Threat Analysis Manager,"The Threat Analysis Manager plans out strategies to pre-empt potential threats in an organisation's cyber related systems. He/She is responsible for identifying the IT assets that are prone to cyber threats and attacks. He proactively monitors the open web and identifies potential threats and groups or individuals capable of attempting cyber-attacks. He runs tests and analyses different areas of the IT assets to ensure they are safe from cyber-attacks. He is familiar with cyber security standards, protocols and frameworks. He is knowledgeable in using various cyber security analysis tools and techniques to monitor and identify potential incidents. The Threat Analysis Manager is alert and vigilant in performing monitoring activities, and is able to analyse and identify potential security-related issues, which may have critical impact on security and operational systems. He communicates clearly in his interactions with others and coordinates effectively with his team to perform security operations.",
Infocomm Technology,Cyber Security,Vulnerability Assessment and Penetration Testing Analyst,"The Vulnerability Assessment and Penetration Testing Analyst designs and performs tests and check cases to determine if infrastructure components, systems and applications meet confidentiality, integrity, authentication, availability, authorisation and non-repudiation standards. He/She translates requirements into test plan, writes and executes test scripts or codes in line with standards and procedures to determine vulnerability from attacks. He certifies infrastructure components, systems and applications that meet security standards. The Vulnerability Assessment and Penetration Testing Analyst is well versed with cyber security standards, protocols and frameworks, has a creative and analytical mind, and deploys new and innovative methods to perform penetration tests. He works well in a team and communicates findings and implications effectively to relevant stakeholders.",
Infocomm Technology,Cyber Security,Vulnerability Assessment and Penetration Testing Manager,"The Vulnerability Assessment and Penetration Testing Manager plans and oversees the delivery of testing and certification services to determine whether infrastructure components, systems and applications meet confidentiality, integrity, authentication, availability, authorisation and non-repudiation standards. He/She reports on testing outcomes and activities. He provides recommendations and manages stakeholder expectations. He ensures compliance with assessment and testing standards, processes and tools. He develops organisational testing capability and supports knowledge management. He is well versed with cyber security standards, protocols and frameworks, and has sound knowledge of various testing applications and services. The Vulnerability Assessment and Penetration Testing Manager possesses strong analytical and critical thinking abilities to resolve and advise on highly complex issues, and effectively communicates outcomes to relevant stakeholders. He is adept at managing resources and developing his team.",
